niveau,wort,artikel,turkce,formen,typ,beispiele,eintrag,quelle
A1 (Start Deutsch 1),Angebot,das,"teklif, kampanya",-e,Nomen,Heute sind Sportschuhe im Angebot.,"das Angebot, -e",A1_SD1.pdf
A1 (Start Deutsch 1),ander-,,"diğer, başka",,Sonstiges,"WiIlst du diese Jacke? – Nein, ich möchte die andere.",ander-,A1_SD1.pdf
A1 (Start Deutsch 1),anfangen,,başlamak,,Sonstiges,Hier fängt die Bahnhofstraße an. Der Unterricht fängt gleich an.,anfangen,A1_SD1.pdf
A1 (Start Deutsch 1),Anfang,der,başlangıç,,Nomen,Sie wohnt am Anfang der Straße. Wir machen Anfang Juli Urlaub.,der Anfang,A1_SD1.pdf
A1 (Start Deutsch 1),anklicken,,tıklamak,,Sonstiges,Da musst du dieses Wort anklicken.,anklicken,A1_SD1.pdf
A1 (Start Deutsch 1),ankommen,,varmak,,Sonstiges,Wann kommt dieser Zug in Hamburg an?,ankommen,A1_SD1.pdf
A1 (Start Deutsch 1),Ankunft,die,varış,,Nomen,Auf diesem Plan steht nur die Ankunft(-szeit) der Züge.,die Ankunft,A1_SD1.pdf
A1 (Start Deutsch 1),ankreuzen,,"işaretlemek, çarpı koymak",,Sonstiges,Auf dem Formular müssen Sie an mehreren Stellen etwas ankreuzen.,ankreuzen,A1_SD1.pdf
A1 (Start Deutsch 1),anmachen,,açmak,,Sonstiges,Mach bitte das Licht an!,anmachen,A1_SD1.pdf
A1 (Start Deutsch 1),sich anmelden,,"kayıt olmak, kaydolmak",,Sonstiges,Wo kann ich mich anmelden?,(sich) anmelden,A1_SD1.pdf
A1 (Start Deutsch 1),Anmeldung,die,"kayıt, kayıt işlemi",,Nomen,Eine Anmeldung für diesen Kurs ist nicht mehr möglich.,die Anmeldung,A1_SD1.pdf
A1 (Start Deutsch 1),Anrede,die,hitap,,Nomen,Schreiben Sie auch eine Anrede und einen Gruß.,die Anrede,A1_SD1.pdf
A1 (Start Deutsch 1),anrufen,,"aramak, telefon etmek",,Sonstiges,Kann man Sie anrufen? Peter ruft kurz seine Freundin an.,anrufen,A1_SD1.pdf
A1 (Start Deutsch 1),Anruf,der,"telefon görüşmesi, arama",-e,Nomen,Sie bekommt viele Anrufe auf ihrem Handy.,"der Anruf, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Anruf-,der,"arama, telefon çağrısı",,Nomen,Wir sind im Moment nicht da. Sprechen Sie bitte auf,der Anruf-,A1_SD1.pdf
A1 (Start Deutsch 1),beantworter,,"telesekreter, sesli mesaj sistemi",,Sonstiges,den Anrufbeantworter.,beantworter,A1_SD1.pdf
A1 (Start Deutsch 1),Ansage,die,"anons, duyuru",-n,Nomen,Hören Sie die Ansagen.,"die Ansage, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Anschluss,der,"bağlantı, aktarma",,Nomen,In Mannheim haben Sie Anschluss nach Saarbrücken. Ist das die Anmeldung für einen Telefonanschluss?,der Anschluss,A1_SD1.pdf
A1 (Start Deutsch 1),an sein,,açık olmak,,Sonstiges,Heute Nacht war das Licht an.,an sein,A1_SD1.pdf
A1 (Start Deutsch 1),antworten,,"cevap vermek, yanıtlamak",,Sonstiges,Er antwortet nicht.,antworten,A1_SD1.pdf
A1 (Start Deutsch 1),Antwort,die,"cevap, yanıt",-en,Nomen,Er gibt leider keine Antwort.,"die Antwort, -en",A1_SD1.pdf
A1 (Start Deutsch 1),Anzeige,die,ilan,-n,Nomen,Ich habe Ihre Anzeige in der Zeitung gelesen.,"die Anzeige, -n",A1_SD1.pdf
A1 (Start Deutsch 1),sich anziehen,,giyinmek,,Sonstiges,Ich muss mich noch anziehen.,(sich) anziehen,A1_SD1.pdf
A1 (Start Deutsch 1),Apartment,das,"apartman dairesi, stüdyo daire",-s,Nomen,Wir haben ein Apartment gemietet.,"das Apartment, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Apfel,der,elma,-Ä,Nomen,Ein Pfund Äpfel bitte.,"der Apfel, -Ä",A1_SD1.pdf
A1 (Start Deutsch 1),Appetit,der,iştah,,Nomen,Guten Appetit!,der Appetit,A1_SD1.pdf
A1 (Start Deutsch 1),arbeiten,,çalışmak,,Sonstiges,Wo arbeiten Sie?,arbeiten,A1_SD1.pdf
A1 (Start Deutsch 1),Arbeit,die,"iş, çalışma",-en,Nomen,Mein Bruder sucht Arbeit.,"die Arbeit, -en",A1_SD1.pdf
A1 (Start Deutsch 1),arbeitslos,,işsiz,,Sonstiges,"Es gibt bei uns viele Leute, die schon lange arbeitslos sind.",arbeitslos,A1_SD1.pdf
A1 (Start Deutsch 1),Arbeitsplatz,der,"iş yeri, çalışma yeri","-ä, e",Nomen,An meinem Arbeitsplatz fehlt ein Drucker.,"der Arbeitsplatz, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),Arm,der,kol,-e,Nomen,Mein Arm tut weh.,"der Arm, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Arzt,der,"doktor, hekim","-Ä, e",Nomen,Morgen habe ich einen Termin bei meiner Ärztin.,"der Arzt, -Ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),auch,,"de, da; ayrıca",,Sonstiges,Ich bin auch Spanier.,auch,A1_SD1.pdf
A1 (Start Deutsch 1),auf,,"üstünde, üzerinde",,Sonstiges,Die Kinder spielen auf der Straße. Auf Wiedersehen. Wie heißt das auf Deutsch?,auf,A1_SD1.pdf
A1 (Start Deutsch 1),Aufgabe,die,"görev, ödev",-n,Nomen,Das ist eine schwere Aufgabe.,"die Aufgabe, -n",A1_SD1.pdf
A1 (Start Deutsch 1),aufhören,,"bitmek, sona ermek",,Sonstiges,Der Kurs hört in einer Woche auf. Hier hört die Bahnhofstraße auf.,aufhören,A1_SD1.pdf
A1 (Start Deutsch 1),auf sein,,açık olmak,,Sonstiges,Du brauchst den Schlüssel nicht. Die Wohnung ist auf.,auf sein,A1_SD1.pdf
A1 (Start Deutsch 1),aufstehen,,"kalkmak, ayağa kalkmak",,Sonstiges,Ich muss immer um vier Uhr aufstehen. Soll ich aufstehen?,aufstehen,A1_SD1.pdf
A1 (Start Deutsch 1),Aufzug,der,asansör,"-ü, e",Nomen,In diesem Haus gibt es keinen Aufzug.,"der Aufzug, -ü, e",A1_SD1.pdf
A1 (Start Deutsch 1),Auge,das,göz,-n,Nomen,Er hat blaue Augen.,"das Auge, -n",A1_SD1.pdf
A1 (Start Deutsch 1),aus,,"-den, -dan; içinden",,Sonstiges,Er kommt aus Brasilien.,aus,A1_SD1.pdf
A1 (Start Deutsch 1),Ausflug,der,gezi,,Nomen,Morgen machen wir einen Ausflug nach Heidelberg.,der Ausflug,A1_SD1.pdf
A1 (Start Deutsch 1),ausfüllen,,doldurmak,,Sonstiges,Füllen Sie bitte dieses Formular aus.,ausfüllen,A1_SD1.pdf
A1 (Start Deutsch 1),Ausgang,der,çıkış,,Nomen,Wo ist der Ausgang?,der Ausgang,A1_SD1.pdf
A1 (Start Deutsch 1),Auskunft,die,"bilgi, danışma","-ü, e",Nomen,Können Sie mir eine Auskunft geben?,"die Auskunft, -ü, e",A1_SD1.pdf
A1 (Start Deutsch 1),Ausland,das,yurt dışı,,Nomen,Fahren Sie ins Ausland?,das Ausland,A1_SD1.pdf
A1 (Start Deutsch 1),Ausländer,der,yabancı,-,Nomen,SInd Sie Ausländerin?,"der Ausländer, -",A1_SD1.pdf
A1 (Start Deutsch 1),ausländisch,,yabancı,,Sonstiges,Leider habe ich nur ausländisches Geld.,ausländisch,A1_SD1.pdf
A1 (Start Deutsch 1),ausmachen,,kapatmak,,Sonstiges,Mach bitte das Licht aus!,ausmachen,A1_SD1.pdf
A1 (Start Deutsch 1),Aussage,die,"ifade, cümle",-n,Nomen,Ist die Aussage richtig oder falsch?,"die Aussage, -n",A1_SD1.pdf
A1 (Start Deutsch 1),aussehen,,görünmek,,Sonstiges,Das sieht schön aus.,aussehen,A1_SD1.pdf
A1 (Start Deutsch 1),aus sein,,"bitmiş olmak, sona ermek",,Sonstiges,Das Licht ist aus. Die Schule ist aus.,aus sein,A1_SD1.pdf
A1 (Start Deutsch 1),aussteigen,,inmek,,Sonstiges,Wo muss ich aussteigen?,aussteigen,A1_SD1.pdf
A1 (Start Deutsch 1),Ausweis,der,"kimlik, kimlik kartı",,Nomen,Hier ist mein Ausweis.,der Ausweis,A1_SD1.pdf
A1 (Start Deutsch 1),sich ausziehen,,soyunmak,,Sonstiges,"Zieh die Schuhe aus, bitte!",(sich) ausziehen,A1_SD1.pdf
A1 (Start Deutsch 1),Auto,das,araba,-s,Nomen,Er kommt mit dem Auto.,"das Auto, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Autobahn,die,otoyol,-en,Nomen,Wo geht‘s hier bitte zur Autobahn?,"die Autobahn, -en",A1_SD1.pdf
A1 (Start Deutsch 1),Automat,der,otomat,,Nomen,Die Fahrkarten gibt es nur am Automaten.,der Automat,A1_SD1.pdf
A1 (Start Deutsch 1),automatisch,,otomatik olarak,,Sonstiges,Du musst nichts machen. Das geht automatisch.,automatisch,A1_SD1.pdf
A1 (Start Deutsch 1),Baby,das,bebek,-s,Nomen,Mein Kind ist noch ein Baby.,"das Baby, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Bäckerei,die,"fırın, pastane",,Nomen,Ich geh mal schnell zur Bäckerei.,die Bäckerei,A1_SD1.pdf
A1 (Start Deutsch 1),Bad,das,banyo,,Nomen,Wir haben kein großes Bad.,das Bad,A1_SD1.pdf
A1 (Start Deutsch 1),baden,,"banyo yapmak, yıkanmak",,Sonstiges,"Ich bade nicht so gern, ich dusche lieber.",baden,A1_SD1.pdf
A1 (Start Deutsch 1),Bahn,die,"tren, demiryolu",,Nomen,Wir fahren lieber mit der Bahn. Ich nehme die nächste Bahn.,die Bahn,A1_SD1.pdf
A1 (Start Deutsch 1),Bahnhof,der,"tren istasyonu, gar",,Nomen,Komme ich hier zum Bahnhof?,der Bahnhof,A1_SD1.pdf
A1 (Start Deutsch 1),Bahnsteig,der,peron,,Nomen,Auf welchem Bahnsteig fährt der Zug?,der Bahnsteig,A1_SD1.pdf
A1 (Start Deutsch 1),bald,,yakında,,Sonstiges,Ich komme bald.,bald,A1_SD1.pdf
A1 (Start Deutsch 1),Balkon,der,balkon,,Nomen,Die Wohnung hat auch einen kleinen Balkon.,der Balkon,A1_SD1.pdf
A1 (Start Deutsch 1),Banane,die,muz,-n,Nomen,"Drei Bananen, bitte!","die Banane, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Bank,die,"banka, bank",,Nomen,Die Bank schließt schon um vier Uhr. Er sitzt im Park auf einer Bank und liest.,die Bank,A1_SD1.pdf
A1 (Start Deutsch 1),bar,,"nakit, peşin",,Sonstiges,Muss ich bar zahlen oder geht‘s auch mit Karte?,bar,A1_SD1.pdf
A1 (Start Deutsch 1),Bauch,der,karın,,Nomen,Seit gestern tut mir der Bauch weh.,der Bauch,A1_SD1.pdf
A1 (Start Deutsch 1),Baum,der,ağaç,"-ä, e",Nomen,"Vorsicht, fahr nicht an den Baum!","der Baum, -ä, e",A1_SD1.pdf
A1 (Start Deutsch 1),Beamte,der,memur,-n,Nomen,Fragen Sie die Beamtin an Schalter acht!,"der Beamte, -n",A1_SD1.pdf
A1 (Start Deutsch 1),bedeuten,,anlamına gelmek,,Sonstiges,Was bedeutet das Wort?,bedeuten,A1_SD1.pdf
A1 (Start Deutsch 1),beginnen,,başlamak,,Sonstiges,Das Spiel beginnt um 15.30 Uhr.,beginnen,A1_SD1.pdf
A1 (Start Deutsch 1),bei,,"yanında, -de",,Sonstiges,Offenbach liegt bei Frankfurt. Ich wohne bei meinen Eltern. Bei uns regnet es heute. Er arbeitet bei der Polizei.,bei,A1_SD1.pdf
A1 (Start Deutsch 1),beide,,"her ikisi, ikisi de",,Sonstiges,Beide Eltern arbeiten. Wir kommen beide.,beide,A1_SD1.pdf
A1 (Start Deutsch 1),Bein,das,bacak,-e,Nomen,Mein rechtes Bein tut weh.,"das Bein, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Beispiel,das,örnek,-e,Nomen,Kannst du mir ein Beispiel sagen?,"das Beispiel, -e",A1_SD1.pdf
A1 (Start Deutsch 1),zum Beispiel/z. B.,,örneğin,,Sonstiges,"Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.",zum Beispiel/z. B.,A1_SD1.pdf
A1 (Start Deutsch 1),bekannt,,"tanınmış, bilinen",,Sonstiges,Picasso ist sehr bekannt.,bekannt,A1_SD1.pdf
A1 (Start Deutsch 1),der/die Bekannte,,"tanıdık, tanış",-n,Sonstiges,Ein Bekannter von mir heißt Klaus.,"der/die Bekannte, -n",A1_SD1.pdf
A1 (Start Deutsch 1),bekommen,,"almak, elde etmek",,Sonstiges,Haben Sie meinen Brief bekommen? Was bekommen Sie? Dieses Medikament bekommen Sie in der Apotheke.,bekommen,A1_SD1.pdf
A1 (Start Deutsch 1),benutzen,,kullanmak,,Sonstiges,Die Aufzüge bitte nicht benutzen!,benutzen,A1_SD1.pdf
A1 (Start Deutsch 1),Beruf,der,meslek,-e,Nomen,Was sind Sie von Beruf? Was ist Ihr Beruf?,"der Beruf, -e",A1_SD1.pdf
A1 (Start Deutsch 1),besetzt,,"dolu, meşgul",,Sonstiges,Die Nummer ist immer besetzt. Der Platz ist besetzt.,besetzt,A1_SD1.pdf
A1 (Start Deutsch 1),besichtigen,,"gezmek, ziyaret etmek",,Sonstiges,Ich möchte gern den Dom besichtigen.,besichtigen,A1_SD1.pdf
A1 (Start Deutsch 1),besser,,daha iyi,,Sonstiges,Es geht mir schon besser.,besser,A1_SD1.pdf
A1 (Start Deutsch 1),best-,,en iyi,,Sonstiges,Am besten treffen wir uns morgen.,best-,A1_SD1.pdf
A1 (Start Deutsch 1),bestellen,,"sipariş etmek, ısmarlamak",,Sonstiges,"Wir möchten bestellen, bitte. Dieses Buch haben wir nicht – sollen wir es für Sie bestellen?",bestellen,A1_SD1.pdf
A1 (Start Deutsch 1),besuchen,,ziyaret etmek,,Sonstiges,Darf ich dich besuchen?,besuchen,A1_SD1.pdf
A1 (Start Deutsch 1),Bett,das,yatak,-en,Nomen,Wir brauchen noch ein Kinderbett.,"das Bett, -en",A1_SD1.pdf
A1 (Start Deutsch 1),bezahlen,,ödemek,,Sonstiges,Wo muss ich bezahlen?,bezahlen,A1_SD1.pdf
A1 (Start Deutsch 1),Bier,das,bira,,Nomen,Noch ein Bier bitte.,das Bier,A1_SD1.pdf
A1 (Start Deutsch 1),Bild,das,resim,-er,Nomen,Hast du ein Bild von deinem Sohn?,"das Bild, -er",A1_SD1.pdf
A1 (Start Deutsch 1),billig,,ucuz,,Sonstiges,Die Jacke kostet nur 10 Euro! Die ist aber billig!,billig,A1_SD1.pdf
A1 (Start Deutsch 1),Birne,die,armut,-n,Nomen,"Ein Kilo Birnen, bitte!","die Birne, -n",A1_SD1.pdf
A1 (Start Deutsch 1),bis,,-e kadar,,Sonstiges,Ich fahre nur bis Stuttgart. Ich warte bis morgen.,bis,A1_SD1.pdf
A1 (Start Deutsch 1),bisschen,,biraz,,Sonstiges,"Ich spreche Englisch, Französisch und ein bisschen Deutsch.",bisschen,A1_SD1.pdf
A1 (Start Deutsch 1),bitte,,lütfen,,Sonstiges,"Eine Tasse Kaffee, bitte! Sprechen Sie bitte leise!",bitte,A1_SD1.pdf
A1 (Start Deutsch 1),Bitte,die,rica,-n,Nomen,Ich habe noch eine Bitte.,"die Bitte, -n",A1_SD1.pdf
A1 (Start Deutsch 1),bitten,,rica etmek,,Sonstiges,Darf ich Sie um etwas bitten?,bitten,A1_SD1.pdf
A1 (Start Deutsch 1),bitter,,acı,,Sonstiges,Der Kaffee schmeckt bitter.,bitter,A1_SD1.pdf
A1 (Start Deutsch 1),bleiben,,kalmak,,Sonstiges,Ich bleibe heute zu Hause. Wir bleiben nur bis morgen.,bleiben,A1_SD1.pdf
A1 (Start Deutsch 1),Bleistift,der,kurşun kalem,-e,Nomen,Hast du einen Bleistift?,"der Bleistift, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Blick,der,"bakış, manzara",,Nomen,Von diesem Hotel hat man einen guten Blick auf den Rhein.,der Blick,A1_SD1.pdf
A1 (Start Deutsch 1),Blume,die,çiçek,-n,Nomen,Gefallen dir die Blumen?,"die Blume, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Bogen,der,"kağıt, form; yay",,Nomen,Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.,der Bogen,A1_SD1.pdf
A1 (Start Deutsch 1),böse,,"kızgın, öfkeli",,Sonstiges,Sie ist böse auf mich.,böse,A1_SD1.pdf
A1 (Start Deutsch 1),brauchen,,"ihtiyaç duymak, gerekmek",,Sonstiges,Brauchst du die Zeitung noch?,brauchen,A1_SD1.pdf
A1 (Start Deutsch 1),breit,,geniş,,Sonstiges,Wie breit ist der Schrank?,breit,A1_SD1.pdf
A1 (Start Deutsch 1),Brief,der,mektup,-e,Nomen,Haben Sie einen Brief für mich?,"der Brief, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Briefmarke,die,pul,-n,Nomen,Kaufst du bitte Briefmarken bei der Post.,"die Briefmarke, -n",A1_SD1.pdf
A1 (Start Deutsch 1),bringen,,getirmek,,Sonstiges,Bringen Sie mir bitte noch einen Kaffee! Wir müssen ihn zum Arzt bringen.,bringen,A1_SD1.pdf
A1 (Start Deutsch 1),Brot,das,ekmek,-e,Nomen,Haben Sie auch Weißbrot? Nimm noch ein paar Brote für die Fahrt mit.,"das Brot, -e",A1_SD1.pdf
A1 (Start Deutsch 1),Brötchen,das,"küçük ekmek, sandviç ekmeği",–,Nomen,Möchtest du Brötchen zum Frühstück?,"das Brötchen, –",A1_SD1.pdf
A1 (Start Deutsch 1),Bruder,der,erkek kardeş,-ü,Nomen,Sein Bruder arbeitet auch hier.,"der Bruder, -ü",A1_SD1.pdf
A1 (Start Deutsch 1),Buch,das,kitap,"-ü, er",Nomen,Gute Bücher sind oft sehr teuer. In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.,"das Buch, -ü, er",A1_SD1.pdf
A1 (Start Deutsch 1),Buchstabe,der,harf,-n,Nomen,Diesen Buchstaben gibt es in meiner Sprache nicht.,"der Buchstabe, -n",A1_SD1.pdf
A1 (Start Deutsch 1),buchstabieren,,"harf harf söylemek, hecelemek",,Sonstiges,Bitte buchstabieren Sie Ihren Namen.,buchstabieren,A1_SD1.pdf
A1 (Start Deutsch 1),Bus,der,otobüs,-se,Nomen,Wann kommt der nächste Bus?,"der Bus, -se",A1_SD1.pdf
A1 (Start Deutsch 1),Butter,die,tereyağı,,Nomen,Für mich bitte ein Brötchen mit Butter und Käse.,die Butter,A1_SD1.pdf
A1 (Start Deutsch 1),Café,das,kafe,-s,Nomen,Sollen wir uns im Café treffen?,"das Café, -s",A1_SD1.pdf
A1 (Start Deutsch 1),CD,die,CD,-s,Nomen,Bring bitte deine Lieblings-CD mit.,"die CD, -s",A1_SD1.pdf
A1 (Start Deutsch 1),Chef,der,"şef, patron",,Nomen,Wir haben eine neue Chefin.,der Chef,A1_SD1.pdf
A1 (Start Deutsch 1),circa/ca.,,"yaklaşık, tahminen",,Sonstiges,Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.,circa/ca.,A1_SD1.pdf
A1 (Start Deutsch 1),Computer,der,bilgisayar,–,Nomen,Wann bekommst du deinen neuen Computer?,"der Computer, –",A1_SD1.pdf
A1 (Start Deutsch 1),da,,"orada, işte",,Sonstiges,Da hinten ist er ja. Wir sprechen gerade über Paul. Da kommt er ja gerade. Ich nehme das da. Ist Herr Klein schon da?,da,A1_SD1.pdf
A1 (Start Deutsch 1),Dame,die,"bayan, hanım",-n,Nomen,Damen (an der Toilette) Sehr geehrte Damen und Herren!,"die Dame, -n",A1_SD1.pdf
A1 (Start Deutsch 1),daneben,,"yanında, bitişiğinde",,Sonstiges,Du kennst doch die Post. Daneben ist die Bank.,daneben,A1_SD1.pdf
A1 (Start Deutsch 1),danken,,teşekkür etmek,,Sonstiges,Ich danke Ihnen für die Einladung.,danken,A1_SD1.pdf
A1 (Start Deutsch 1),Dank,der,teşekkür,,Nomen,Vielen Dank! Herzlichen Dank!,der Dank,A1_SD1.pdf
A1 (Start Deutsch 1),danke,,"teşekkürler, sağ ol",,Sonstiges,"Soll ich Ihnen helfen? - Nein, danke!",danke,A1_SD1.pdf
A1 (Start Deutsch 1),dann,,"sonra, o zaman",,Sonstiges,"Ich muss noch schnell zur Post, dann komme ich.",dann,A1_SD1.pdf
A1 (Start Deutsch 1),Datum,das,tarih,,Nomen,Bitte schreiben Sie noch das Datum auf das Formular.,das Datum,A1_SD1.pdf
A1 (Start Deutsch 1),dauern,,sürmek,,Sonstiges,Wie lange dauert der Film?,dauern,A1_SD1.pdf
A1 (Start Deutsch 1),dein-,,senin,,Sonstiges,Ist das dein Auto? Ist das deins?,dein-,A1_SD1.pdf
A1 (Start Deutsch 1),denn,,çünkü,,Sonstiges,"Ich kann nicht kommen, denn ich bin krank.",denn,A1_SD1.pdf
A1 (Start Deutsch 1),der,,"bu, şu","die, das",Sonstiges,"Ich nehme das da. Hier ist der Brief, den du suchst. Die Fahrkarte bekommst du am Bahnhof.","der, die, das",A1_SD1.pdf
A1 (Start Deutsch 1),dich,,seni,,Sonstiges,Die Blumen sind für dich.,dich,A1_SD1.pdf
A1 (Start Deutsch 1),dies-,,bu,,Sonstiges,Ich nehme lieber diesen Kuchen.,dies-,A1_SD1.pdf
A1 (Start Deutsch 1),dir,,sana,,Sonstiges,Gefallen dir die Blumen?,dir,A1_SD1.pdf
A1 (Start Deutsch 1),Disco,die,"disko, diskotek",,Nomen,Heute abend gehen wir in die Disco tanzen.,die Disco,A1_SD1.pdf
A1 (Start Deutsch 1),Doktor,der,doktor,,Nomen,Meine Tochter ist krank. Wir gehen zum Doktor.,der Doktor,A1_SD1.pdf
A1 (Start Deutsch 1),Doppelzimmer,das,çift kişilik oda,,Nomen,Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?,das Doppelzimmer,A1_SD1.pdf
A1 (Start Deutsch 1),Dorf,das,köy,"-ö, er",Nomen,Meine Familie lebt in einem Dorf.,"das Dorf, -ö, er",A1_SD1.pdf
A1 (Start Deutsch 1),dort,,orada,"-her, -hin",Sonstiges,Deine Tasche kannst du dorthin stellen. Dort ist unser Haus.,"dort, -her, -hin",A1_SD1.pdf
A1 (Start Deutsch 1),draußen,,dışarıda,,Sonstiges,Wollen wir draußen sitzen?,draußen,A1_SD1.pdf
A1 (Start Deutsch 1),drucken,,"yazdırmak, basmak",,Sonstiges,Bitte drucke das Formular für mich.,drucken,A1_SD1.pdf
A1 (Start Deutsch 1),Drucker,der,yazıcı,–,Nomen,Mein Drucker ist kaputt.,"der Drucker, –",A1_SD1.pdf
A1 (Start Deutsch 1),drücken,,basmak,,Sonstiges,"Drück hier, dann geht der Computer an.",drücken,A1_SD1.pdf
A1 (Start Deutsch 1),durch,,"içinden, aracılığıyla",,Sonstiges,Am besten gehen Sie durch die Breite Straße.,durch,A1_SD1.pdf
A1 (Start Deutsch 1),Durchsage,die,"anons, duyuru",-n,Nomen,Ich habe die Durchsage nicht verstanden.,"die Durchsage, -n",A1_SD1.pdf
A1 (Start Deutsch 1),dürfen,,"izinli olmak, -ebilmek",,Sonstiges,Sie dürfen hier nicht rauchen. Darf ich Sie zu einem Kaffee einladen? Es darf nicht mehr als 15 Euro kosten.,dürfen,A1_SD1.pdf
A1 (Start Deutsch 1),Durst,der,susuzluk,,Nomen,Hast du etwas zu trinken? Ich habe großen Durst.,der Durst,A1_SD1.pdf
A1 (Start Deutsch 1),sich duschen,,duş almak,,Sonstiges,"Ich bade nicht so gern, ich dusche lieber.",(sich) duschen,A1_SD1.pdf
A1 (Start Deutsch 1),Dusche,die,duş,,Nomen,Unsere Wohnung hat nur eine Dusche.,die Dusche,A1_SD1.pdf
A1 (Start Deutsch 1),Ecke,die,köşe,-n,Nomen,An der nächsten Ecke links.,"die Ecke, -n",A1_SD1.pdf
A1 (Start Deutsch 1),Ehefrau,die,"eş, karı",-en/,Nomen,,"die Ehefrau, -en/",A1_SD1.pdf
A1 (Start Deutsch 1),Ehemann,der,"eş, koca","ä, er",Nomen,Das ist mein (Ehe-) Mann/meine (Ehe-) Frau.,"der Ehemann, ä, er",A1_SD1.pdf
A1 (Start Deutsch 1),Ei,das,yumurta,-er,Nomen,Möchtest du ein Ei zum Frühstück?,"das Ei, -er",A1_SD1.pdf
A1 (Start Deutsch 1),eilig,,"acele, ivedi",,Sonstiges,Hast du es eilig?,eilig,A1_SD1.pdf
A1 (Start Deutsch 1),ein-,,"bir, biri",,Sonstiges,"Ich nehme ein Bier. Willst du auch eins? Ist hier einer, der das kann?",ein-,A1_SD1.pdf
A1 (Start Deutsch 1),einfach,,"basit, kolay",,Sonstiges,"Die Prüfung ist ganz einfach. Hin und zurück? – Nein, bitte nur einfach. Ich brauche nur ein einfaches Zimmer.",einfach,A1_SD1.pdf
A1 (Start Deutsch 1),Eingang,der,giriş,,Nomen,Der Eingang ist um die Ecke.,der Eingang,A1_SD1.pdf
